year,temp_anomaly_c,area_burned_million_ha,deaths_direct,homes_lost,climate_pattern,label
2001,0.07,0.50,3,70,Neutral,
2002,0.82,0.75,0,109,Neutral,2001-02
2003,0.23,21.24,7,41,El Niño,2002-03
2004,0.15,0.30,1,20,Neutral,
2005,0.65,0.50,9,103,El Niño,
2006,0.07,0.18,5,75,El Niño,
2007,0.18,1.36,5,83,El Niño,
2008,-0.09,0.10,5,3,La Niña,
2009,0.41,0.45,173,2140,El Niño,Black Saturday
2010,-0.79,0.80,2,64,La Niña,
2011,-0.51,0.10,0,84,La Niña,
2012,0.22,1.41,0,39,La Niña,
2013,1.08,0.91,4,310,Neutral,
2014,0.87,0.25,3,224,Neutral,
2015,0.54,0.30,5,100,El Niño,
2016,0.33,0.30,9,408,El Niño,Yarloop
2017,0.90,0.10,1,46,Neutral,
2018,1.03,0.20,0,50,Neutral,
2019,1.52,0.10,0,0,Neutral,Record heat
2020,0.72,24.00,33,3094,El Niño,Black Summer
2021,0.23,0.20,0,52,La Niña,
2022,-0.13,0.05,0,0,La Niña,
2023,0.60,0.10,0,39,La Niña,
2024,1.46,96.08,10,171,El Niño,2023-24
